area_code,area,item_code,item,comm_code,comm_group,group
3,Albania,2541,Sugar non-centrifugal,c065,"Sugar, sweeteners",Crop products
3,Albania,2542,Sugar (Raw Equivalent),c066,"Sugar, sweeteners",Crop products
3,Albania,2543,"Sweeteners, Other",c067,"Sugar, sweeteners",Crop products
3,Albania,2571,Soyabean Oil,c068,Vegetable oils,Crop products
3,Albania,2572,Groundnut Oil,c069,Vegetable oils,Crop products
3,Albania,2573,Sunflowerseed Oil,c070,Vegetable oils,Crop products
3,Albania,2574,Rape and Mustard Oil,c071,Vegetable oils,Crop products
3,Albania,2575,Cottonseed Oil,c072,Vegetable oils,Crop products
3,Albania,2576,Palmkernel Oil,c073,Vegetable oils,Crop products
3,Albania,2577,Palm Oil,c074,Vegetable oils,Crop products
3,Albania,2578,Coconut Oil,c075,Vegetable oils,Crop products
3,Albania,2579,Sesameseed Oil,c076,Vegetable oils,Crop products
3,Albania,2580,Olive Oil,c077,Vegetable oils,Crop products
3,Albania,2581,Ricebran Oil,c078,Vegetable oils,Crop products
3,Albania,2582,Maize Germ Oil,c079,Vegetable oils,Crop products
3,Albania,2586,"Oilcrops Oil, Other",c080,Vegetable oils,Crop products
3,Albania,2590,Soyabean Cake,c081,Oil cakes,Crop products
3,Albania,2591,Groundnut Cake,c082,Oil cakes,Crop products
3,Albania,2592,Sunflowerseed Cake,c083,Oil cakes,Crop products
3,Albania,2593,Rape and Mustard Cake,c084,Oil cakes,Crop products
3,Albania,2594,Cottonseed Cake,c085,Oil cakes,Crop products
3,Albania,2595,Palmkernel Cake,c086,Oil cakes,Crop products
3,Albania,2596,Copra Cake,c087,Oil cakes,Crop products
3,Albania,2597,Sesameseed Cake,c088,Oil cakes,Crop products
3,Albania,2598,"Oilseed Cakes, Other",c089,Oil cakes,Crop products
3,Albania,2655,Wine,c090,Alcohol,Crop products
3,Albania,2656,Beer,c091,Alcohol,Crop products
3,Albania,2657,"Beverages, Fermented",c092,Alcohol,Crop products
3,Albania,2658,"Beverages, Alcoholic",c093,Alcohol,Crop products
3,Albania,2659,"Alcohol, Non-Food",c094,Ethanol,Crop products
3,Albania,2661,Cotton lint,c095,Fibre crops,Crop products
3,Albania,866,Cattle,c096,Live animals,Livestock
3,Albania,946,Buffaloes,c097,Live animals,Livestock
3,Albania,976,Sheep,c098,Live animals,Livestock
3,Albania,1016,Goats,c099,Live animals,Livestock
3,Albania,1034,Pigs,c100,Live animals,Livestock
3,Albania,2029,Poultry Birds,c101,Live animals,Livestock
3,Albania,1096,Horses,c102,Live animals,Livestock
3,Albania,1107,Asses,c103,Live animals,Livestock
3,Albania,1110,Mules,c104,Live animals,Livestock
3,Albania,1126,Camels,c105,Live animals,Livestock
3,Albania,1157,"Camelids, other",c106,Live animals,Livestock
3,Albania,1140,Rabbits and hares,c107,Live animals,Livestock
3,Albania,1150,"Rodents, other",c108,Live animals,Livestock
3,Albania,2848,Milk - Excluding Butter,c109,Milk,Livestock products
3,Albania,2740,"Butter, Ghee",c110,Milk,Livestock products
3,Albania,2744,Eggs,c111,Eggs,Livestock products
3,Albania,2746,Wool (Clean Eq.),c112,"Hides, skins, wool",Livestock products
3,Albania,2731,Bovine Meat,c113,Meat,Livestock products
3,Albania,2732,Mutton & Goat Meat,c114,Meat,Livestock products
3,Albania,2733,Pigmeat,c115,Meat,Livestock products
3,Albania,2734,Poultry Meat,c116,Meat,Livestock products
3,Albania,2735,"Meat, Other",c117,Meat,Livestock products
3,Albania,2736,"Offals, Edible",c118,Meat,Livestock products
3,Albania,2737,"Fats, Animals, Raw",c119,Animal fats,Livestock products
3,Albania,2748,Hides and skins,c120,"Hides, skins, wool",Livestock products
3,Albania,2745,Honey,c121,Honey,Livestock products
3,Albania,2747,Silk,c122,"Hides, skins, wool",Livestock products
3,Albania,2960,"Fish, Seafood",c123,Fish,Fish
4,Algeria,2807,Rice and products,c001,Cereals,Primary crops
4,Algeria,2511,Wheat and products,c002,Cereals,Primary crops
4,Algeria,2513,Barley and products,c003,Cereals,Primary crops
4,Algeria,2514,Maize and products,c004,Cereals,Primary crops
4,Algeria,2515,Rye and products,c005,Cereals,Primary crops
4,Algeria,2516,Oats,c006,Cereals,Primary crops
4,Algeria,2517,Millet and products,c007,Cereals,Primary crops
4,Algeria,2518,Sorghum and products,c008,Cereals,Primary crops
4,Algeria,2520,"Cereals, Other",c009,Cereals,Primary crops
4,Algeria,2531,Potatoes and products,c010,Roots and tubers,Primary crops
4,Algeria,2532,Cassava and products,c011,Roots and tubers,Primary crops
